X,Y,id,@id,addr:city,addr:housenumber,addr:postcode,addr:street,building,building:levels,name,type,name:zh,tourism,name:hi,shop,source,website,wheelchair,opening_hours,operator,smoking,artwork_type,wikidata,alt_name,amenity,aeroway,area,building:min_level,description,phone,email,name:en,landuse,elevation,internet_access,layer,level,network,platforms,public_transport,railway,ref,train,wikipedia,building_1,addr:place,height,addr:country,addr:district,addr:state,atm,brand:wikidata,brand:wikipedia,drive_through,fax,natural,water,brand,short_name
73.03932361,19.01657325,relation/5284049,relation/5284049,Navi Mumbai,Sector 11,400614,Sakal Bhavan Marg,commercial,5,NBC Complex,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.89590152,19.08161954,relation/5320812,relation/5320812,mumbai,,400086,Station Road,commercial,5,Neelkant,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.89387441,19.11386,relation/5346835,relation/5346835,Mumbai,,400072,Chandiwali Road,commercial,6,Oberoi Garden Estate,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.81823229,18.91419417,way/39599369,way/39599369,Mumbai,,400005,TL Wasvani Road,commercial,,World Trade Centre Arcade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8539896,19.0956289,way/40772065,way/40772065,Mumabi,,,,commercial,,Sahara Star,,撒哈拉之星,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8145571,18.99114492,way/42441130,way/42441130,Mumbai,,400018,Dr Annie Besant Road,commercial,,Atria Mall,,,,एॅट्रीया मॉल,mall,Yahoo,http://www.atriamumbai.in,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.81192849,18.97573507,way/48757500,way/48757500,Mumbai,,400034,Pandit Madan Mohan Malviya Marg,commercial,,SoBo Central Mall,,,,,supermarket,,,,Mo-Su 11:00-20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.82861054,18.92180288,way/54224854,way/54224854,Mumbai,,,Nathalal M. Parikh Road (Wodehouse Road),commercial,,Taj Wellington Mews,,,hotel,,,,,,,Indian Hotels Company Limited,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.85624122,19.1548367,way/84750574,way/84750574,Mumbai,,,Western Express Highway,commercial,,Hub Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.85351679,19.14887986,way/102392821,way/102392821,,,,,commercial,,Hall 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.8550187,19.1488942,way/102392823,way/102392823,,,,,commercial,,Hall 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.85331213,19.1474114,way/102392834,way/102392834,,,,,commercial,,Hall 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.85352917,19.1493901,way/102404342,way/102404342,,,,,commercial,,Hall 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.83855337,19.02246876,way/135732915,way/135732915,Mumbai,,,,commercial,,SAMRAT CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
